code,lat,lng,value
2273316592,-23.6595518,-46.6572931,21
1728057259,-23.5088428,-46.4215468,24
440406513,-23.6989684,-46.6608818,21
2273324657,-23.6570538,-46.6541855,23
2273324659,-23.6525654,-46.650761,46
2495627196,-23.4545838,-46.7665913,40
2508210576,-23.5855983,-46.7585161,32
440421648,-23.5350963,-46.682569,37
5230325399,-23.690069,-46.6973766,69
1354794214,-23.6657569,-46.6570878,34
440437627,-23.694349,-46.6659336,29
440437700,-23.6929328,-46.6606899,20
440437847,-23.6873282,-46.6704835,24
440437887,-23.6806755,-46.6697423,29
440437900,-23.6824297,-46.6700521,27
29402613,-23.634043,-46.7741676,20
29402998,-23.6422584,-46.7798177,23
29403010,-23.6588919,-46.7747889,26
29404724,-23.6341741,-46.7746137,22
5427474412,-23.5230971,-46.6553621,56
1107347473,-23.638713,-46.6525534,21
1107347530,-23.6374054,-46.6509983,28
1824576775,-23.4884283,-46.6839275,24
440460626,-23.6682813,-46.6777795,24
440460641,-23.6936986,-46.6572914,23
440460671,-23.6714203,-46.6682091,47
2063656443,-23.5444766,-46.4108608,61
172025739,-23.5578624,-46.6737617,25
1925245354,-23.5233716,-46.5733968,28
1925245917,-23.5251818,-46.5714637,47
4190171104,-23.5546954,-46.7362496,25
4307614445,-23.5576617,-46.6147629,93
5138634491,-23.5222659,-46.4424135,29
5591073963,-23.5228878,-46.7471085,24
2348891153,-23.5201589,-46.6363296,43
364996104,-23.6040963,-46.6274653,35
3900798763,-23.518669,-46.4721175,25
1644274834,-23.5480411,-46.7565564,31
1099022713,-23.5950458,-46.4944906,31
2474762296,-23.5457491,-46.4092086,24
6216089078,-23.5244305,-46.5948235,24
2307010588,-23.6136056,-46.4027475,46
155333849,-23.5333036,-46.4983881,44
251805114,-23.5511269,-46.7324361,42
251805119,-23.5498275,-46.7309,31
1040335087,-23.6085207,-46.5064423,24
1040335174,-23.6128192,-46.4939162,22
155340245,-23.5490881,-46.4618965,26
2109898603,-23.488568,-46.7280024,29
2109902387,-23.4880833,-46.7272574,38
4173508732,-23.4696121,-46.7242425,34
155365964,-23.5683868,-46.5053564,27
142788280,-23.5607631,-46.6828434,21
142788294,-23.5560783,-46.6750251,25
155373854,-23.5986222,-46.4687167,36
155374975,-23.5973099,-46.4668782,24
142792283,-23.5388183,-46.6825136,32
155375502,-23.5950707,-46.4659905,32
155378357,-23.5867006,-46.4823297,108
155378358,-23.5868319,-46.4827729,23
155378360,-23.5871921,-46.4832192,59
6190983357,-23.6055471,-46.6262903,22
155381236,-23.5813454,-46.489828,33
155386498,-23.5795122,-46.5017457,28
155389017,-23.5725586,-46.5039782,21
3905097172,-23.5029688,-46.4575233,150
4362276688,-23.6721193,-46.6302669,28
2239964951,-23.4480252,-46.7813408,141
549664366,-23.7339617,-46.696209,34
1728264832,-23.4936649,-46.4023118,21
4362290114,-23.6415287,-46.6608853,21
293819570,-23.5182037,-46.7122251,43
981685873,-23.450701,-46.6516457,26
981685943,-23.4484431,-46.6509537,33
5628975132,-23.641998,-46.7586504,30
155419889,-23.5507553,-46.5758412,58
453215677,-23.5325943,-46.6807893,32
453215726,-23.534609,-46.6693987,25
453215862,-23.5405735,-46.6687812,23
180588077,-23.5292236,-46.5603796,29
4702060041,-23.5402671,-46.6122645,39
151254168,-23.5149796,-46.6904856,51
151255240,-23.5070495,-46.7062711,31
4098098350,-23.4355478,-46.7202205,46
3905171061,-23.5333753,-46.4513797,30
1728328264,-23.4932441,-46.4440163,30
411317394,-23.6146433,-46.6324644,28
931412512,-23.4736138,-46.6696718,56
1111783437,-23.6655935,-46.6561272,44
1111783626,-23.6645324,-46.6570039,41
1111783719,-23.6645411,-46.6583828,31
1111783885,-23.6649077,-46.6533649,34
1111783994,-23.6639345,-46.656644,28
1111784079,-23.6650719,-46.6573286,49
1111784092,-23.6639958,-46.658057,38
302284687,-23.6256836,-46.6936973,23
1048880018,-23.6086594,-46.5235764,22
1048880027,-23.6089404,-46.5237806,29
1069859268,-23.59928,-46.5131658,30
5775869293,-23.6542378,-46.6021504,21
1069878057,-23.5990152,-46.5144846,33
29691387,-23.6794141,-46.6401819,31
29691785,-23.6708336,-46.6470957,37
29692195,-23.6806444,-46.6389094,30
29692261,-23.6585993,-46.6634465,24
29692303,-23.6731578,-46.643721,21
1975853051,-23.6308863,-46.4464127,21
1975853106,-23.622709,-46.4461185,77
4035262996,-23.6340161,-46.7747416,33
4035263003,-23.6336932,-46.7739028,21
704989094,-23.6120993,-46.5984624,29
704989095,-23.6139964,-46.5982073,24
663049891,-23.5914343,-46.4866559,24
1598392781,-23.6390096,-46.7797947,28
1598392804,-23.6403219,-46.7807355,23
1095081324,-23.5859245,-46.490783,23
1095081405,-23.5842216,-46.4914641,30
2466637893,-23.5958639,-46.6099428,22
2072385732,-23.5145439,-46.5488665,57
2089176043,-23.5143971,-46.5352869,23
2781239185,-23.5857087,-46.7482302,41
29778262,-23.6582321,-46.6357804,109
1984335315,-23.5647504,-46.5081497,23
1665574191,-23.5387391,-46.4579404,36
1611051821,-23.5887509,-46.7329969,28
445042830,-23.5541936,-46.611021,27
247912033,-23.6507375,-46.6345769,21
247912191,-23.6522206,-46.6370184,22
25620018,-23.5597044,-46.7108987,29
25621272,-23.5436406,-46.7346682,104
445062140,-23.5697805,-46.605762,39
432484493,-23.5288723,-46.6868073,27
499611064,-23.4338884,-46.7198251,22
499611143,-23.452761,-46.7186754,29
1426557302,-23.6303181,-46.5927623,24
5474061787,-23.5204075,-46.5551886,90
298294387,-23.6147758,-46.607966,51
1489487227,-23.5856044,-46.6132193,24
1804060168,-23.4617416,-46.6732751,37
1682432266,-23.5117764,-46.4624157,37
296884200,-23.6300406,-46.4747793,21
296884201,-23.6315183,-46.4743092,25
436737436,-23.5181255,-46.5808081,52
25697084,-23.6445968,-46.7273563,130
2047351993,-23.4429144,-46.5941547,44
25716969,-23.5996643,-46.6846204,22
436762994,-23.5218086,-46.5938477,22
1426621486,-23.620661,-46.5960516,21
445166507,-23.5567873,-46.5697577,21
445166518,-23.5536791,-46.5710707,22
445166602,-23.5544955,-46.5657292,20
29934568,-23.6686925,-46.7337466,21
248041258,-23.6477209,-46.6422775,28
663281899,-23.5858659,-46.4893588,122
248045904,-23.6400518,-46.6505365,36
582142,-23.5500816,-46.7302882,24
453568048,-23.5041041,-46.6726022,29
1837688680,-23.5592128,-46.3989694,22
248048373,-23.6483548,-46.643434,29
248048461,-23.6497089,-46.6441351,27
1426648686,-23.6164988,-46.5966798,21
1426648780,-23.6219789,-46.5953832,23
1426648781,-23.6139512,-46.6008684,24
587850,-23.522293,-46.7469803,28
1707671345,-23.5202456,-46.5779302,23
453583370,-23.500097,-46.7241787,23
25764611,-23.520443,-46.7461368,26
25764806,-23.5182576,-46.7311879,39
25765152,-23.5135642,-46.7226637,25
29973138,-23.668211,-46.7328358,59
1837718221,-23.538571,-46.4142447,28
1837718255,-23.5389609,-46.4078806,57
1837718290,-23.5393048,-46.421534,42
25781670,-23.5220565,-46.558479,24
1560900126,-23.4219564,-46.7875169,46
4350118091,-23.5658185,-46.6579078,32
453613116,-23.4984065,-46.7067123,25
1489607989,-23.6100471,-46.5883121,36
25812315,-23.5256209,-46.7555673,223
1837755123,-23.5499572,-46.396419,33
453636574,-23.509206,-46.6784758,24
2001336825,-23.7011613,-46.7010293,25
1665795346,-23.4959361,-46.4049188,37
1800015701,-23.6738623,-46.6779613,48
1837765719,-23.5217232,-46.4182231,27
2429164105,-23.4925651,-46.4524678,21
1665802201,-23.5445159,-46.405896,23
1422532796,-23.5315126,-46.4559767,81
453649007,-23.5145695,-46.6531978,36
936016430,-23.482589,-46.7210492,21
936016568,-23.480057,-46.7249021,34
